stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_timezone,geometry,provider
086064da-8914-415f-83cc-8d6a087f5ed2,Basel Bad Bf (FlixTrain),47.567793,7.606924,RB,Europe/Zurich,POINT (2612665.0099495524 1268578.5988466677),Flixbus
2b9458e6-b38f-408b-a089-959b61762261,Sion (Rue Traversière),46.22322,7.348153,SON,Europe/Zurich,POINT (2593017.8122142935 1119090.0490433571),Flixbus
2cad1f73-b3a5-44bd-a6cd-22f24e67d9a5,Schaffhausen station,47.698117,8.631738,SHS,Europe/Zurich,POINT (2689559.9754620967 1283736.5298463346),Flixbus
3069b691-0e47-4054-95ec-9124befce618,"Zug, Chollermüli",47.180749,8.485382,ZUGM,Europe/Zurich,POINT (2679341.911511472 1226061.430586769),Flixbus
41a6de9d-be75-4625-98ce-e281dee065b1,Bellinzona (Arbedo- Castione station),46.223756,9.041916,AEC,Europe/Zurich,POINT (2723695.2936966717 1120408.8971381427),Flixbus
62e1d176-d9dd-4a89-9773-047fa0853cfa,Zurich Airport bus station,47.449535,8.563792,ZAP,Europe/Zurich,POINT (2684856.368488777 1256024.2931769802),Flixbus
82cc819a-d09a-4508-93f8-e1b53eb9991b,Geneva Airport (Bus Station),46.230536,6.109944,GVA,Europe/Zurich,POINT (2497498.7973628803 1120769.0566867208),Flixbus
a00c031f-70c0-4601-8f19-3c799d6fd62d,Erstfeld Gotthard Service Station South,46.8488,8.632181,STAS,Europe/Zurich,POINT (2691029.494004585 1189321.02947038),Flixbus
a911ddc4-8f7a-4922-9062-896639e29888,"Luzern, Neuenkirch (service area)",47.11396,8.232476,RLU,Europe/Zurich,POINT (2660247.970703546 1218411.7464193988),Flixbus
cca8cf2e-23be-4e2a-9dde-37ad1ce98a0b,Splügen (Dorf),46.552262,9.319545,SLE,Europe/Zurich,POINT (2744235.4942428176 1157392.4372114334),Flixbus
dcbab299-9603-11e6-9066-549f350fcb0c,Zurich Bus Station,47.380855,8.537436,ZH,Europe/Zurich,POINT (2682975.7416684944 1248360.7926629113),Flixbus
dcbc7463-9603-11e6-9066-549f350fcb0c,Chur station train station (Bahnhofplatz),46.852917,9.529111,CHU,Europe/Zurich,POINT (2759411.6563428515 1191210.2364714255),Flixbus
dcbc827f-9603-11e6-9066-549f350fcb0c,Basel SBB (Meret Oppenheim-Street),47.546467,7.587736,BAS,Europe/Zurich,POINT (2611225.5689728544 1266204.486789617),Flixbus
dcbc87a8-9603-11e6-9066-549f350fcb0c,Lugano (Via Ciani),46.02244,8.963193,LUG,Europe/Zurich,POINT (2718057.364655621 1097912.5581097149),Flixbus
dcbd9ed5-9603-11e6-9066-549f350fcb0c,St. Gallen train station,47.422274,9.366621,STG,Europe/Zurich,POINT (2745467.892403296 1254172.305309882),Flixbus
dcc05da5-9603-11e6-9066-549f350fcb0c,Lausanne (P+R Vélodrome),46.536324,6.623189,LAU,Europe/Zurich,POINT (2537444.595176263 1154218.2984583548),Flixbus
dcc0604a-9603-11e6-9066-549f350fcb0c,Bern (Neufeld car terminal),46.963711,7.433698,BER,Europe/Zurich,POINT (2599624.4683360495 1201403.908717907),Flixbus
dcc0627e-9603-11e6-9066-549f350fcb0c,Geneva (central bus station),46.208522,6.146928,GEN,Europe/Zurich,POINT (2500311.2759288205 1118274.4804672184),Flixbus
dcc0f625-9603-11e6-9066-549f350fcb0c,Winterthur (Lagerhausstrasse),47.497645,8.723394,WTU,Europe/Zurich,POINT (2696804.418622262 1261557.55859307),Flixbus
dcc329e1-9603-11e6-9066-549f350fcb0c,Fribourg (Poya),46.815737,7.155162,FRI,Europe/Zurich,POINT (2578366.001758362 1184993.045195217),Flixbus
e7813085-5122-4af6-8aa8-ebe960a72aa1,Martigny,46.10525,7.080065,MGY,Europe/Zurich,POINT (2572272.625906245 1106035.4360467307),Flixbus
e7c8ed17-43b8-4766-8c0c-3f215ae7aca9,Luzern (Landenberg),47.046915,8.315742,LUZ,Europe/Zurich,POINT (2666650.3793388926 1211025.8430791746),Flixbus
f04ca8c8-3e93-43a6-930b-67423f985ef0,Vaduz (Rheinparkstadion),47.139365,9.511041,VDZ,Europe/Vaduz,POINT (2757192.8484396944 1223007.4965956747),Flixbus
