id,lon,lat,name
2,26.074412,44.44677,Bucuresti
3,1.811446,50.901549,Calais
4,1.075329,51.284212,Canterbury
5,-3.543547,50.729172,Exeter
8,8.571526,50.05108,Frankfurt Flughafen
9,18.643803,54.35552,Gdansk
11,7.389619,47.191698,Grenchen
19,4.786044,43.921937,Avignon
21,2.140369,41.378914,Barcelona
22,7.589563,47.547412,Basel
24,7.395238,46.937487,Bern Bümpliz
27,-1.89948,52.483627,Birmingham
31,4.335694,50.835376,Bruxelles
34,-2.97965,53.404289,Liverpool
39,37.654246,55.777402,Moskau
43,16.934558,52.366166,Poznan
47,4.841839,45.745054,Lyon
48,-3.682351,40.472153,Madrid
51,-2.24248,53.473728,Manchester
53,2.782876,48.870272,Marne-la-Vallée-Chessy
58,30.357393,59.956957,St. Petersburg
59,9.132979,47.659615,Tägerwilen
62,-0.381761,39.458012,Valencia
85,7.498928,47.018942,Schönbühl
108,7.555831,47.18386,Biberist
119,7.916857,54.186604,Helgoland
121,25.007437,60.290218,Helsinki Airport
122,4.322673,52.069584,Den Haag
123,2.943027,42.26478,Figueres
124,8.756219,47.207311,Freienbach
126,18.267262,49.852085,Ostrava
128,5.317224,43.455171,Aix-en-Provence
130,3.076448,50.639294,Lille
132,7.68936,47.196374,Bahn-2000-Strecke
133,8.603653,46.154371,Centovalli
134,8.435917,46.530761,Furka-Basistunnel
135,7.773846,46.356888,Lötschberg-Basistunnel
136,7.717215,46.433756,Lötschberg-Bergstrecke
137,8.320797,47.07453,Rotsee
138,9.985688,46.808381,Vereina
139,8.805061,47.217327,Seedamm
140,8.594652,46.604329,Gotthard-Panoramastrecke
141,8.66112,46.66088,Oberalp
142,8.088979,46.274969,Simplontunnel
174,8.765599,46.680773,Gotthard-Basistunnel
175,7.905118,47.401154,Hauenstein-Basistunnel
176,8.521961,47.351679,Zimmerberg-Basistunnel
177,7.10623,46.816925,Belfaux
179,7.892934,46.560533,Mürren
180,7.378647,46.968022,Hinterkappelen
181,9.811342,46.574006,Albulatunnel
184,-6.197023,53.345297,Dublin
185,19.025288,47.498535,Budapest
186,19.544465,51.763091,Lodz
189,14.494864,53.397748,Szczecin
196,-9.122274,38.713873,Lisboa
197,-0.126465,51.532679,London
198,2.35912,48.876976,Paris
199,3.923964,43.595115,Montpellier
201,17.084055,48.102667,Kittsee Grenze/Border
206,8.211355,46.886483,Stalden OW
209,9.187297,45.484437,Milano
212,16.337255,48.196753,Wien
213,-0.453451,51.47138,Heathrow Airport
214,16.324341,48.04387,Guntramsdorf
216,13.370179,52.5233,Berlin
217,10.005472,53.552559,Hamburg
218,13.277745,52.6716,Hohen Neuendorf bei Berlin
220,7.372598,46.181947,Thyon/Thyon 2000
221,7.532865,47.599227,Basel EuroAirport
1100008,7.859649,47.710086,"Zell (Wiesental), Wilder Mann"
1100009,7.862908,47.713191,"Zell (Wiesental), Grönland"
1100010,7.872349,47.71462,Atzenbach
1100011,7.87747,47.728211,"Mambach, Brücke"
1100012,7.881386,47.734081,"Mambach, Mühlschau"
1100013,7.88223,47.739519,"Mambach, Silbersau"
1100014,7.889133,47.754366,"Fröhnd (Schwarzw), Wühre"
1100015,7.885541,47.760592,"Fröhnd (Schwarzw), Unterkastel"
1100016,7.887724,47.772829,Wembach (Baden)
1100017,7.892194,47.777458,"Schönau (Schw), Brand"
1100018,7.893841,47.786206,"Schönau (Schw), Zentrum"
1100019,7.898094,47.789645,"Schönau (Schw), Friedhof"
1100020,7.902222,47.793628,"Schönau (Schw), Schönenbuchen"
1100021,7.90471,47.797428,"Aitern, Abzweigung"
1100022,7.908945,47.799597,"Utzenfeld, Reiterhof"
1100023,7.916491,47.801513,"Utzenfeld, Wiese"
1100024,7.921874,47.802433,"Utzenfeld, Engel"
1100025,7.93668,47.803888,"Geschwend (Baden), Mättlestr."
1100026,7.93715,47.806133,"Geschwend (Baden), Unterdorf"
1100027,7.93912,47.818226,Schlechtnau
1100028,7.941935,47.828631,"Todtnau, Busbahnhof"
1100029,7.946701,47.829147,"Todtnau, Schönauerstrasse"
1100030,7.960083,47.832007,"Todtnau, Poche"
1100031,7.972576,47.836716,"Brandenberg (D), Siedlung"
1100032,7.974714,47.842709,"Brandenberg (D), Hirschen"
1100033,7.981831,47.844848,"Brandenberg (D), Wiesenstrasse"
1100034,7.99624,47.852517,"Fahl, Lawine"
1100035,8.004758,47.85641,"Fahl, Skilift"
1100036,7.998094,47.858584,"Fahl, Todtnauerhütte"
1100037,8.027695,47.856594,"Feldberg, Hebelhof"
1100038,8.035834,47.860559,"Feldberg, Feldbergerhof"
1100039,8.052701,47.858485,"Feldberg, Caritas-Haus"
1100040,8.068079,47.861284,"Feldberg, Kohlplatz"
1100041,8.09095,47.87049,"Bärental, Altes Rathaus"
1100042,8.098612,47.872369,"Feldberg-Bärental, Bahnhof"
1100043,8.096856,47.870205,"Bärental, Bahnhofstrasse"
1100044,8.093766,47.871657,"Bärental, Bären"
1100045,8.099616,47.874173,"Bärental, Behabühl"
1100046,8.107924,47.878669,"Bärental, Löffelschmiede"
1100047,8.122001,47.888218,"Hinterzarten, Heizmannshof"
1100048,8.129241,47.888761,"Titisee, Feuerwehrheim"
1100049,8.140666,47.89479,"Titisee, Abzw. Bühlhof"
1100050,8.14526,47.89934,"Titisee, Freibad"
1100051,8.150216,47.900858,"Titisee, Kurhaus"
1100052,8.155124,47.902815,"Titisee, Bahnhof"
1100053,7.938203,47.834054,"Todtnau, Sonnhalde"
1100054,7.929254,47.842626,Aftersteg
1100055,7.937485,47.845374,"Todtnauberg, Hangloch"
1100056,7.938888,47.849626,"Todtnauberg, Sternen"
1100057,7.941096,47.851806,"Todtnauberg, Rathaus"
1100058,7.917685,47.857477,"Muggenbrunn, Grüner Baum"
1100059,7.917008,47.864924,"Muggenbrunn, Säge"
1100060,7.9103,47.875883,"Halde, Notschrei"
1100061,7.895833,47.885184,"Halde, Haldenköpfle"
1100062,7.892248,47.890817,"Halde, Schauinsland"
1100063,7.89714,47.899205,"Hofsgrund, Plätzle"
1100064,7.900498,47.902377,"Hofsgrund, Hof"
1100065,7.91749,47.903767,"Hofsgrund, Hansenhof"
1100066,7.92304,47.898083,"St. Wilhelm, Steinwasen"
1100067,7.931716,47.903653,"St. Wilhelm, Hohe Brücke"
1100068,7.933781,47.912566,"Oberried (D), Schneeberg"
1100069,7.938285,47.923967,"Oberried (D), Hintertal"
1100070,7.94095,47.928526,"Oberried (D), Surenhof"
1100071,7.947478,47.932068,"Oberried (D), Adler"
1100072,7.953289,47.934713,"Oberried (D), Sternen/Post"
1100073,7.953718,47.943966,"Oberried (D), Weilersbach"
1100074,7.952463,47.948399,"Kirchzarten, Geroldstal"
1100075,7.95459,47.959125,"Kirchzarten, Sportplatz"
1100076,7.95289,47.961724,"Kirchzarten, Krone"
1100077,7.955229,47.964305,"Kirchzarten, Grundschule"
1100078,7.959225,47.969294,"Kirchzarten, Bahnhof"
